"2847430";"King Island";"2,99€";"None";"['AgeOfGames']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847440";"Nooch Farm";"";"None";"['Manning Media']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847510";"Synthetica: Cyber Club Manager";"";"None";"['Sargonius Games']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847580";"Tokyo School Girl";"2,99€";"None";"['FrisbyStudio']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847590";"Element Release: Water Territory  元素释放：水之领域";"";"None";"['ZHANGHANLUN']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847600";"Flagdashers";"";"None";"['Robert Espina']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847640";"A Living Room";"";"None";"['Valtteri Tavast']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846740";"SEARCH ALL - DOGS";"1,99€";"None";"['Laush Dmitriy Sergeevich']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846750";"VOIN Playtest";"";"None";"[]";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846790";"Trash Horror Collection 4";"2,99€";"None";"['616 GAMES']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846800";"Becoming Captain - The cardgame RPG";"";"None";"['Le Havre Création']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846850";"Hexagon Ultra VR";"9,75€";"None";"['PixelBrain Studio']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846970";"Guardião Tupã";"";"None";"['Beyond The Wall']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846980";"yasai game";"3,19€";"None";"['Picopicowvo']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2846990";"Boo's Burgers";"";"None";"['Jeremy Fischer']";"[]";"False";"{'windows': True, 'mac': True, 'linux': False}"
"2847000";"Room -Random Dungeon-";"0,99€";"None";"['SawaiwaGame']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847030";"BoxSim";"";"None";"['3:15 Software']";"[]";"False";"{'windows': True, 'mac': True, 'linux': False}"
