Name;link
A King's Tale: Final Fantasy XV;https://opencritic.com/game/3614/a-kings-tale-final-fantasy-xv
A Kiss For The Petals - Remembering How We Met;https://opencritic.com/game/5755/a-kiss-for-the-petals-remembering-how-we-met
A Knight in the Attic;https://opencritic.com/game/14852/a-knight-in-the-attic
A Knight's Quest;https://opencritic.com/game/8406/a-knights-quest
A Light in the Dark;https://opencritic.com/game/14777/a-light-in-the-dark
A Little Golf Journey;https://opencritic.com/game/12162/a-little-golf-journey
A Little Lily Princess;https://opencritic.com/game/11580/a-little-lily-princess
A Little to the Left;https://opencritic.com/game/13959/a-little-to-the-left
A Little to the Left: Cupboards and Drawers;https://opencritic.com/game/15155/a-little-to-the-left-cupboards-and-drawers
A Long Journey to an Uncertain End;https://opencritic.com/game/15168/a-long-journey-to-an-uncertain-end
A Long Time;https://opencritic.com/game/11449/a-long-time
A Long Way Down;https://opencritic.com/game/14750/a-long-way-down
A Magical High School Girl;https://opencritic.com/game/3968/a-magical-high-school-girl
A Matter of Principle;https://opencritic.com/game/14589/a-matter-of-principle
A Memoir Blue;https://opencritic.com/game/12934/a-memoir-blue
A Monster's Expedition;https://opencritic.com/game/10145/a-monsters-expedition
A Mortician's Tale;https://opencritic.com/game/5040/a-morticians-tale
A Musical Story;https://opencritic.com/game/12832/a-musical-story
A Night at the Races;https://opencritic.com/game/12037/a-night-at-the-races
A Nightmare’s Trip;https://opencritic.com/game/8845/a-nightmare-s-trip
A Normal Lost Phone;https://opencritic.com/game/3860/a-normal-lost-phone
A Perfect Day;https://opencritic.com/game/15752/a-perfect-day
A Pixel Story;https://opencritic.com/game/3986/a-pixel-story
A Place For The Unwilling;https://opencritic.com/game/8015/a-place-for-the-unwilling
A Plague Tale: Innocence;https://opencritic.com/game/7547/a-plague-tale-innocence
A Plague Tale: Requiem;https://opencritic.com/game/13346/a-plague-tale-requiem
A Plague Tale: Requiem (Switch);https://opencritic.com/game/13918/a-plague-tale-requiem-switch-
A Pretty Odd Bunny;https://opencritic.com/game/14696/a-pretty-odd-bunny
A Rite from the Stars;https://opencritic.com/game/6367/a-rite-from-the-stars
A Robot Named Fight;https://opencritic.com/game/4813/a-robot-named-fight
A Rogue Escape;https://opencritic.com/game/11517/a-rogue-escape
A Rose in the Twilight;https://opencritic.com/game/4156/a-rose-in-the-twilight
A Short Hike;https://opencritic.com/game/8025/a-short-hike
A Sky Full of Stars;https://opencritic.com/game/5309/a-sky-full-of-stars
A Song in the Void;https://opencritic.com/game/7461/a-song-in-the-void
A Space For The Unbound - Prologue;https://opencritic.com/game/9327/a-space-for-the-unbound-prologue
A Space for the Unbound;https://opencritic.com/game/14202/a-space-for-the-unbound
A Story About My Uncle;https://opencritic.com/game/974/a-story-about-my-uncle
A Street Cat's Tale;https://opencritic.com/game/9202/a-street-cats-tale
A Summer with the Shiba Inu;https://opencritic.com/game/9711/a-summer-with-the-shiba-inu
A Summer’s End – Hong Kong 1986;https://opencritic.com/game/9392/a-summer-s-end-hong-kong-1986
A TAVERN FOR TEA;https://opencritic.com/game/14814/a-tavern-for-tea
A Tale Of Synapse: The Chaos Theories;https://opencritic.com/game/11656/a-tale-of-synapse-the-chaos-theories
A Tale for Anna;https://opencritic.com/game/12485/a-tale-for-anna
